type,x,y
position,-0.02289339700214143,-2.488793820902669
position,-0.23011609592290405,-2.5186417405717685
position,-0.4955799380951791,-2.437122625792323
position,-0.7490226575492238,-2.4041680428982377
position,-0.950835231420201,-2.412656784624887
position,-1.211972056006505,-2.408919036126166
position,-1.3190359825084315,-2.4493718591907747
position,-1.4408789743004633,-2.410483137808785
position,-1.5941235775451446,-2.3309704999946343
position,-1.5036548757197223,-2.501276801726377
position,-1.4525149554539298,-2.509525312311036
position,-1.3849628402089114,-2.6536316138471023
position,-1.4520474080120311,-2.4284764210845453
position,-1.6289345633732175,-2.2941564017940985
position,-1.8194757384311353,-2.1064670692749616
position,-1.966401382074361,-1.9658254683429333
position,-1.971698115674316,-1.9828873851964557
position,-1.9027420554918304,-1.9575821096113435
position,-1.717056430470032,-1.9294331830569598
position,-1.4600603043023153,-1.8662655445602534
position,-1.2216090842060352,-1.844923303120533
position,-0.9714676727506296,-1.8426577681985994
position,-0.9611193591211584,-1.8358627631163462
position,-0.9371089408673328,-1.8533526980100343
position,-0.8724100540261516,-1.9000276582189464
position,-0.6091571921376585,-2.1674695868110874
position,-0.4129494923999468,-2.3720412860002917
position,-0.39706851406941207,-2.399284096090963
position,-0.45699954425354994,-2.253407870099929
position,-0.45256227186296943,-2.2104406873562885
position,-0.4348749129138732,-2.021060374346555
position,-0.4319611834286468,-1.909454726843349
position,-0.36520468951018725,-1.7644016600960557
position,-0.40432112501045275,-1.6772915501578265
position,-0.4336672731560278,-1.6946505220504293
position,-0.4299438786814212,-1.7419677507998395
position,-0.5247427559672132,-1.746119208150569
position,-0.5383908615553847,-1.771114430753504
position,-0.447943567564494,-1.7576682094104603
position,-0.42314850930355813,-1.7656485995307696
position,-0.6075832341049036,-1.5672249805019471
position,-0.5991502170626667,-1.6420211306833783
position,-0.8112638700250224,-1.3064494231424981
position,-1.019124252595264,-1.1407772371539004
position,-1.0473860834210862,-1.1513541870773518
position,-1.1535314246024606,-1.0250924203557326
position,-0.9821959544944442,-1.2346781271525076
position,-1.024680952540768,-1.1199909068544298
position,-1.0427688215699613,-1.1285509491564505
position,-1.0618732913622975,-1.0157744302565705
position,-1.0548821589655315,-0.8205801809537141
position,-1.0282317394573022,-0.7044314688921219
position,-1.04275779543509,-0.7470923887540252
position,-1.1889191316088896,-1.0254396213379426
position,-1.2819293825789781,-1.2359370275385613
position,-1.3008101681897788,-1.226262915123264
position,-1.1978516058058277,-1.0463455790563387
position,-1.1796580080125827,-1.0220174102135677
position,-1.199702390626347,-1.0858043710063747
position,-1.125505394027016,-1.0945474344831008
position,-0.8590769238329147,-1.0832611046975285
position,-0.7380588548425097,-1.0936453102980186
position,-0.8461631044408586,-1.0858459438310106
position,-1.0805152257717485,-1.005943635553139
position,-1.1540656702595435,-0.9509151087200761
position,-1.3184891243129795,-0.9360821605655696
position,-1.52625966905075,-1.0007720210549238
position,-1.724349223200696,-1.0261737198526422
position,-2.011063989026572,-1.1442994256029675
position,-2.0605277959251134,-1.1704956222471516
position,-2.3042846099767003,-1.2811850180145217
position,-2.146298548906448,-1.273381488331013
position,-1.9363152043759757,-1.2144428868370054
position,-1.8275226205426458,-1.1563888783491445
position,-1.5811584739690345,-0.9977202233578851
position,-1.4234240473663644,-0.8923690585441748
position,-1.3515640091397227,-0.7939625409906882
position,-1.2764444880208394,-0.6551961936164074
position,-1.2285265441335724,-0.45029427273024025
position,-1.2008827845314944,-0.2781404979418906
position,-1.1870475823345639,-0.10918126973875841
position,-1.2417504675731847,-0.16580383473976182
position,-1.3706714578955848,-0.44743568742708756
position,-1.4306898487265742,-0.6538220679614868
position,-1.561814852401442,-0.9084871845892085
position,-1.613394105015547,-1.156447635155028
position,-1.697446060024543,-1.4133235288632169
position,-1.7735719689216627,-1.64663234741212
position,-1.816653776946649,-1.9135513889124167
position,-1.8606128577861694,-2.154255073694579
position,-1.8603910450681163,-2.4183328479583377
position,-1.9113212866876146,-2.6779627836367985
position,-2.0073703027318026,-2.903045586531613
position,-2.0642009191158723,-3.0194556439737967
position,-2.08344003172745,-3.0318804209958063
position,-2.266402033910877,-3.148361320372901
position,-2.5172472143862556,-3.2606551020940175
position,-2.722815564572339,-3.4556642176689674
position,-2.863906528405427,-3.6041500743014048
position,-2.918143794566581,-3.8553389638422035
position,-2.989386090158698,-4.115947947942028
position,-3.022273852970196,-4.347168063573539
position,-3.0654062965233737,-4.305324013145719
position,-3.162420887698195,-4.087827785814727
position,-3.34873415814328,-3.8127009202082935
position,-3.4953016766689693,-3.5744873123925474
position,-3.714123232447998,-3.3597277328849993
position,-4.029983087131334,-3.2009000056118895
position,-3.8174268202579658,-3.3478568979554026
position,-3.9041788385632747,-3.279041626177229
position,-3.7594844032506716,-3.3641878996104215
position,-3.647438762338926,-3.394565856623577
position,-3.470656041223919,-3.4285763152679243
position,-3.2276244818134114,-3.3641131360009227
position,-3.0013057270084977,-3.4540655454377154
position,-2.735254527679674,-3.425032160348449
position,-2.4829044098991133,-3.3898301650905833
position,-2.4825401185857703,-3.391508514902985
position,-2.707433936327773,-3.508502233900696
position,-2.9385226356176863,-3.5938638486786156
position,-2.9670570781424557,-3.628630832484241
position,-2.654861613530582,-3.620459385450048
position,-2.5555244174183462,-3.554947696636129
position,-2.315871132603459,-3.628586810218515
position,-2.2344542502161477,-3.6588919730225222
position,-2.276303261136978,-3.6716331618682756
position,-2.2613859795697895,-3.6354919312840663
position,-2.177806032780095,-3.666181156536009
position,-2.117936019098151,-3.5975354590161475
position,-2.131679806614167,-3.5505462605293765
position,-2.083681570030027,-3.6712847726817834
position,-2.01447666135252,-3.9135981377623628
position,-1.976128083659552,-3.9773854012810825
position,-1.9566236460735555,-3.923176806762104
position,-1.8914551510635997,-3.7949027140626055
position,-1.7440012164872551,-3.415640883184918
position,-1.540768478466513,-3.3054486396285236
position,-1.4014471763028382,-3.081486411224844
position,-1.3310790574262625,-2.8988999187500437
position,-1.3004883358340338,-2.808928395648202
position,-1.310696136715039,-2.6271881562295123
position,-1.3351121305280378,-2.415464128509257
position,-1.4157821197335734,-2.2385868854757844
position,-1.4934319337928132,-2.139124625708817
position,-1.4007457569376507,-2.2713577978926023
position,-1.3241309392993026,-2.4542815206699617
position,-1.3052483271917716,-2.4549600369462397
position,-1.2915867454559866,-2.3198249078912045
position,-1.321203024156952,-2.4628703406537307
position,-1.3420301689889806,-2.523238512124115
position,-1.4090477056029669,-2.6313549084938392
position,-1.4579254883802681,-2.6819083299636763
position,-1.5621256319344279,-2.7547078893389876
position,-1.6542909301248776,-2.8531129549518157
position,-1.7877429751497387,-2.862455633059716
position,-1.9870980420051372,-2.879018902822922
position,-1.728830422379648,-2.929978897401131
position,-1.4667807725995257,-2.9814424489102023
position,-1.230452142402315,-3.0245700795136057
position,-1.3100470387749257,-2.9977783277551064
position,-1.534144819943636,-2.846718353735941
position,-1.4423871591494402,-2.9315933450083067
position,-1.5211018202357658,-2.881966503746649
position,-1.624305837702475,-2.764180495002194
position,-1.6757633788802844,-2.660674586711322
position,-1.731648430355222,-2.5604901345066
position,-1.7228161841901835,-2.859908352743871
position,-1.765785321094582,-2.7537832101383124
position,-1.7306728041258381,-2.8579441186350034
position,-1.7656289625343307,-2.95105456129458
position,-1.8276056226737947,-3.2141873055408903
position,-1.8652717461619444,-3.461409839059017
position,-1.8553712865627254,-3.739098774935061
position,-1.8689943993869802,-3.9773521650295414
position,-1.8889201278886845,-4.239443002285631
position,-1.96544732166494,-4.497543251668144
position,-1.9532879416695832,-4.473727169830499
position,-2.116309131612231,-4.653588639591033
position,-2.194524890697991,-4.804507807325174
position,-2.391858841968077,-5.010131501665771
position,-2.581486291060091,-5.134832983568054
position,-2.5509418706308935,-5.118488006593606
position,-2.5000762979311615,-5.100310249346612
position,-2.388576776233712,-5.088384895786099
position,-2.2640516566061235,-5.085095160461585
position,-2.150192323598842,-5.118677161577752
position,-2.079311896030645,-5.172856375844253
position,-2.0497592186135885,-5.193189859620731
position,-2.013083961530854,-5.268184101413031
position,-1.9730875027019303,-5.3342071531124455
position,-1.9126458140695997,-5.414465169946
position,-1.9299783471283922,-5.526476721625902
position,-1.9404728625474452,-5.569383517845964
position,-1.815913811348502,-5.377784911752236
position,-1.7738476516401478,-5.2624271485379905
position,-1.7110796868216689,-5.163842559222249
position,-1.5581714122400485,-5.020910712942972
position,-1.390578860701752,-4.9064850672605695
position,-1.61301122984651,-4.970920946088663
goal,1.0,6.0
position,-1.6360313096463657,-4.984071700364699
position,-1.4598716196667596,-4.87841975356025
position,-1.2503683878137888,-4.72050894848208
position,-1.1496254108662967,-4.56299678292957
position,-0.8943539188961869,-4.28690227845613
position,-0.8360330230130554,-4.067692661416723
position,-0.7208484029543267,-3.8120017259177184
goal,6.0,5.0
position,-0.6738202759135056,-3.6698678293243123
position,-0.709760596246945,-3.825948110291066
position,-0.6874365256141067,-4.074874429948692
position,-0.6924265995879857,-4.090633494644867
position,-0.65743139680774,-3.8337635337969505
position,-0.6793059350036429,-3.5750097816239146
position,-0.7139604290110851,-3.2977469270915893
position,-0.7473418058006281,-3.039705285067261
position,-0.7951650933332067,-2.762648318034955
position,-0.8766711176757882,-2.5026835055246526
position,-0.9752878947550949,-2.1783912153930145
position,-1.0141808163985906,-1.9877054445855384
position,-1.001421303491263,-2.055592433556783
position,-0.9184554128361472,-2.123186463607976
position,-0.9338279928548628,-2.1201311258782183
position,-0.8033904165452299,-2.2489495749807435
position,-0.7162335809782309,-2.501504885399843
position,-0.6740893450691313,-2.7949613146656387
position,-0.6741386561480976,-3.05633999540193
position,-0.6391788113159457,-3.2650294578228976
position,-0.577170842166487,-3.4784376649145576
position,-0.5009303481500134,-3.756606807916805
position,-0.4827356121895565,-3.724912026237861
position,-0.5891637300116748,-3.6615926244463934
position,-0.7237418958073925,-3.6297357110276356
position,-0.9578548944790539,-3.5536017239087445
position,-1.2139000008821432,-3.4828141975194002
position,-1.3455195860258582,-3.465448539196656
position,-1.5074737610585958,-3.4986528681972375
position,-1.4751646747616316,-3.477625819248031
position,-1.3966767648077498,-3.4767404135548508
position,-1.3124112902357645,-3.439568724385341
position,-1.2268250115108648,-3.3831041413538423
position,-1.473392950358791,-3.64792675471982
position,-1.6880627249201072,-3.8929778569005737
position,-1.5470840341432501,-3.6695093537255894
position,-1.3685971478206602,-3.4522504541400294
position,-1.3534326225700868,-3.443062612274884
position,-1.3053444498448001,-3.4258084323825693
position,-1.0311478511698908,-3.220602041409677
position,-0.8941432820017753,-3.181027583107922
position,-0.787248398739593,-3.1547815099555203
position,-0.6557265279023823,-3.108268862677509
position,-0.32723459566812674,-3.0205099801603237
position,-0.22407706745537972,-2.8654220938886157
position,-0.19760037756486495,-2.8389763483817054
position,-0.17716477043341755,-2.8210316534752717
position,-0.14266203663390262,-2.7162338551409007
position,-0.1093067192653554,-2.6291679845146394
position,-0.0807476031039365,-2.5517663307264566
position,-0.08416569547437783,-2.450626698021447
position,-0.11953693394829969,-2.380843159989985
position,-0.1459946458106794,-2.286264587527516
position,-0.1249241503755724,-2.298401489563225
position,-0.026260528169827095,-2.3294210728044344
position,0.02755316267673992,-2.323990353508491
